,Ticker,Name
365,PFC,Power Finance Corporation Ltd.
366,POWERGRID,Power Grid Corporation of India Ltd.
367,PRAJIND,Praj Industries Ltd.
368,PRESTIGE,Prestige Estates Projects Ltd.
369,PRINCEPIPE,Prince Pipes and Fittings Ltd.
370,PRSMJOHNSN,Prism Johnson Ltd.
371,PGHH,Procter & Gamble Hygiene & Health Care Ltd.
372,PNB,Punjab National Bank
373,QUESS,Quess Corp Ltd.
374,RBLBANK,RBL Bank Ltd.
375,RECLTD,REC Ltd.
376,RHIM,RHI MAGNESITA INDIA LTD.
377,RITES,RITES Ltd.
378,RADICO,Radico Khaitan Ltd
379,RVNL,Rail Vikas Nigam Ltd.
380,RAIN,Rain Industries Ltd
381,RAINBOW,Rainbow Childrens Medicare Ltd.
382,RAJESHEXPO,Rajesh Exports Ltd.
383,RALLIS,Rallis India Ltd.
384,RCF,Rashtriya Chemicals & Fertilizers Ltd.
385,RATNAMANI,Ratnamani Metals & Tubes Ltd.
386,RTNINDIA,RattanIndia Enterprises Ltd.
387,RAYMOND,Raymond Ltd.
388,REDINGTON,Redington Ltd.
389,RELAXO,Relaxo Footwears Ltd.
390,RELIANCE,Reliance Industries Ltd.
391,RBA,Restaurant Brands Asia Ltd.
392,ROSSARI,Rossari Biotech Ltd.
393,ROUTE,Route Mobile Ltd.
394,SBICARD,SBI Cards and Payment Services Ltd.
395,SBILIFE,SBI Life Insurance Company Ltd.
396,SJVN,SJVN Ltd.
397,SKFINDIA,SKF India Ltd.
398,SRF,SRF Ltd.
399,MOTHERSON,Samvardhana Motherson International Ltd.
400,SANOFI,Sanofi India Ltd.
401,SAPPHIRE,Sapphire Foods India Ltd.
402,SCHAEFFLER,Schaeffler India Ltd.
403,SHARDACROP,Sharda Cropchem Ltd.
404,SHOPERSTOP,Shoppers Stop Ltd.
405,SHREECEM,Shree Cement Ltd.
406,RENUKA,Shree Renuka Sugars Ltd.
407,SHRIRAMFIN,Shriram Finance Ltd.
408,SHYAMMETL,Shyam Metalics and Energy Ltd.
409,SIEMENS,Siemens Ltd.
410,SOBHA,Sobha Ltd.
411,SOLARINDS,Solar Industries India Ltd.
412,SONACOMS,Sona BLW Precision Forgings Ltd.
413,SONATSOFTW,Sonata Software Ltd.
414,STARHEALTH,Star Health and Allied Insurance Company Ltd.
415,SBIN,State Bank of India
416,SAIL,Steel Authority of India Ltd.
417,SWSOLAR,Sterling and Wilson Renewable Energy Ltd.
418,STLTECH,Sterlite Technologies Ltd.
419,SUMICHEM,Sumitomo Chemical India Ltd.
420,SPARC,Sun Pharma Advanced Research Company Ltd.
421,SUNPHARMA,Sun Pharmaceutical Industries Ltd.
422,SUNTV,Sun TV Network Ltd.
423,SUNDARMFIN,Sundaram Finance Ltd.
424,SUNDRMFAST,Sundram Fasteners Ltd.
425,SUNTECK,Sunteck Realty Ltd.
426,SUPRAJIT,Suprajit Engineering Ltd.
427,SUPREMEIND,Supreme Industries Ltd.
428,SUVENPHAR,Suven Pharmaceuticals Ltd.
429,SUZLON,Suzlon Energy Ltd.
430,SWANENERGY,Swan Energy Ltd.
431,SYNGENE,Syngene International Ltd.
432,TCIEXP,TCI Express Ltd.
433,TCNSBRANDS,TCNS Clothing Co. Ltd.
434,TTKPRESTIG,TTK Prestige Ltd.
435,TV18BRDCST,TV18 Broadcast Ltd.
436,TVSMOTOR,TVS Motor Company Ltd.
437,TMB,Tamilnad Mercantile Bank Ltd.
438,TANLA,Tanla Platforms Ltd.
439,TATACHEM,Tata Chemicals Ltd.
440,TATACOMM,Tata Communications Ltd.
441,TCS,Tata Consultancy Services Ltd.
442,TATACONSUM,Tata Consumer Products Ltd.
443,TATAELXSI,Tata Elxsi Ltd.
444,TATAINVEST,Tata Investment Corporation Ltd.
445,TATAMTRDVR,Tata Motors Ltd DVR
446,TATAMOTORS,Tata Motors Ltd.
447,TATAPOWER,Tata Power Co. Ltd.
448,TATASTEEL,Tata Steel Ltd.
449,TTML,Tata Teleservices (Maharashtra) Ltd.
450,TEAMLEASE,Teamlease Services Ltd.
451,TECHM,Tech Mahindra Ltd.
452,TEJASNET,Tejas Networks Ltd.
453,NIACL,The New India Assurance Company Ltd.
454,RAMCOCEM,The Ramco Cements Ltd.
455,THERMAX,Thermax Ltd.
456,TIMKEN,Timken India Ltd.
457,TITAN,Titan Company Ltd.
458,TORNTPHARM,Torrent Pharmaceuticals Ltd.
459,TORNTPOWER,Torrent Power Ltd.
460,TCI,Transport Corporation of India Ltd.
461,TRENT,Trent Ltd.
462,TRIDENT,Trident Ltd.
463,TRIVENI,Triveni Engineering & Industries Ltd.
464,TRITURBINE,Triveni Turbine Ltd.
465,TIINDIA,Tube Investments of India Ltd.
466,UCOBANK,UCO Bank
467,UFLEX,UFLEX Ltd.
468,UNOMINDA,UNO Minda Ltd.
469,UPL,UPL Ltd.
470,UTIAMC,UTI Asset Management Company Ltd.
471,ULTRACEMCO,UltraTech Cement Ltd.
472,UNIONBANK,Union Bank of India
473,UBL,United Breweries Ltd.
474,MCDOWELL-N,United Spirits Ltd.
475,VGUARD,V-Guard Industries Ltd.
476,VMART,V-Mart Retail Ltd.
477,VIPIND,V.I.P. Industries Ltd.
478,VAIBHAVGBL,Vaibhav Global Ltd.
479,VTL,Vardhman Textiles Ltd.
480,VARROC,Varroc Engineering Ltd.
481,VBL,Varun Beverages Ltd.
482,MANYAVAR,Vedant Fashions Ltd.
483,VEDL,Vedanta Ltd.
484,VIJAYA,Vijaya Diagnostic Centre Ltd.
485,VINATIORGA,Vinati Organics Ltd.
486,IDEA,Vodafone Idea Ltd.
487,VOLTAS,Voltas Ltd.
488,WELCORP,Welspun Corp Ltd.
489,WELSPUNIND,Welspun India Ltd.
490,WESTLIFE,Westlife Foodworld Ltd.
